major_category,middle_category,item_name,cpi_code,cpi_raw_name,kakei_code,is_matched
穀類,米類,うるち米,1001,1001 うるち米Ａ,,False
穀類,米類,うるち米,1002,1002 うるち米Ｂ,,False
穀類,パン,食パン,1021,1021 食パン,010120010,True
穀類,パン,あんパン,1022,1022 あんパン,,False
穀類,パン,カレーパン,1023,1023 カレーパン,,False
穀類,麺類,ゆでうどん,1031,1031 ゆでうどん,,False
穀類,麺類,そうめん,1041,1041 そうめん,,False
穀類,麺類,スパゲッティ,1042,1042 スパゲッティ,,False
穀類,麺類,カップ麺,1051,1051 カップ麺,010130050,True
穀類,麺類,中華麺,1052,1052 中華麺,010130040,True
穀類,他の穀類,小麦粉,1071,1071 小麦粉,010140010,True
穀類,他の穀類,もち,1081,1081 もち,010140020,True
穀類,他の穀類,シリアル,1090,1090 シリアル,,False
魚介類,生鮮魚介,まぐろ,1101,1101 まぐろ,010211010,True
魚介類,生鮮魚介,あじ,1102,1102 あじ,010211020,True
魚介類,生鮮魚介,いわし,1103,1103 いわし,010211030,True
魚介類,生鮮魚介,かつお,1104,1104 かつお,010211040,True
魚介類,生鮮魚介,さけ,1106,1106 さけ,010211060,True
魚介類,生鮮魚介,さば,1107,1107 さば,010211070,True
魚介類,生鮮魚介,さんま,1108,1108 さんま,010211080,True
魚介類,生鮮魚介,たい,1110,1110 たい,010211090,True
魚介類,生鮮魚介,ぶり,1111,1111 ぶり,010211100,True
魚介類,生鮮魚介,いか,1112,1112 いか,010211110,True
魚介類,生鮮魚介,たこ,1113,1113 たこ,010211120,True
魚介類,生鮮魚介,えび,1114,1114 えび,010211130,True
魚介類,生鮮魚介,あさり,1131,1131 あさり,010212010,True
魚介類,生鮮魚介,かき,1132,1132 かき（貝）,010212030,True
魚介類,生鮮魚介,ほたて貝,1133,1133 ほたて貝,010212040,True
魚介類,塩干魚介,塩さけ,1141,1141 塩さけ,010220010,True
魚介類,塩干魚介,たらこ,1142,1142 たらこ,010220020,True
魚介類,塩干魚介,しらす干し,1143,1143 しらす干し,010220030,True
魚介類,塩干魚介,干しあじ,1144,1144 干しあじ,010220040,True
魚介類,塩干魚介,煮干し,1146,1146 煮干し,,False
魚介類,塩干魚介,ししゃも,1150,1150 ししゃも,,False
魚介類,塩干魚介,いくら,1167,1167 いくら,,False
魚介類,魚肉練製品,揚げかまぼこ,1151,1151 揚げかまぼこ,010230010,True
魚介類,魚肉練製品,ちくわ,1152,1152 ちくわ,010230020,True
魚介類,魚肉練製品,かまぼこ,1153,1153 かまぼこ,010230030,True
魚介類,他の魚介加工品,かつお節,1161,1161 かつお節,010211040,True
魚介類,他の魚介加工品,魚介漬物,1165,1165 魚介漬物,,False
魚介類,他の魚介加工品,魚介つくだ煮,1166,1166 魚介つくだ煮,,False
魚介類,他の魚介加工品,魚介缶詰,1173,1173 魚介缶詰,,False
肉類,生鮮肉,牛肉,1201,1201 牛肉（国産品）,010310010,True
肉類,生鮮肉,牛肉,1203,1203 牛肉（輸入品）,010310010,True
肉類,生鮮肉,豚肉,1211,1211 豚肉（国産品）,010310020,True
肉類,生鮮肉,豚肉,1214,1214 豚肉（輸入品）,010310020,True
肉類,生鮮肉,鶏肉,1221,1221 鶏肉,010310030,True
肉類,加工肉,ハム,1252,1252 ハム,010320010,True
肉類,加工肉,ソーセージ,1261,1261 ソーセージ,010320020,True
肉類,加工肉,ベーコン,1271,1271 ベーコン,010320030,True
肉類,加工肉,味付け肉,1292,1292 味付け肉,,False
牛乳・乳製品,牛乳,牛乳,1303,1303 牛乳,010410001,True
牛乳・乳製品,乳製品,粉ミルク,1311,1311 粉ミルク,010420010,True
牛乳・乳製品,乳製品,ヨーグルト,1333,1333 ヨーグルト,010420020,True
牛乳・乳製品,乳製品,バター,1321,1321 バター,010420030,True
牛乳・乳製品,乳製品,チーズ,1331,1331 チーズ（国産品）,010420040,True
牛乳・乳製品,乳製品,チーズ,1332,1332 チーズ（輸入品）,010420040,True
乳卵類,卵,鶏卵,1341,1341 鶏卵,,False
野菜・海藻,生鮮野菜,キャベツ,1401,1401 キャベツ,010511010,True
野菜・海藻,生鮮野菜,ほうれんそう,1402,1402 ほうれんそう,010511020,True
野菜・海藻,生鮮野菜,はくさい,1403,1403 はくさい,010511030,True
野菜・海藻,生鮮野菜,ねぎ,1405,1405 ねぎ,010511040,True
野菜・海藻,生鮮野菜,レタス,1406,1406 レタス,010511050,True
野菜・海藻,生鮮野菜,ブロッコリー,1409,1409 ブロッコリー,010511060,True
野菜・海藻,生鮮野菜,もやし,1407,1407 もやし,010511070,True
野菜・海藻,生鮮野菜,アスパラガス,1410,1410 アスパラガス,,False
野菜・海藻,生鮮野菜,さつまいも,1411,1411 さつまいも,010512010,True
野菜・海藻,生鮮野菜,じゃがいも,1412,1412 じゃがいも,010512020,True
野菜・海藻,生鮮野菜,さといも,1413,1413 さといも,010512030,True
野菜・海藻,生鮮野菜,だいこん,1414,1414 だいこん,010512040,True
野菜・海藻,生鮮野菜,にんじん,1415,1415 にんじん,010512050,True
野菜・海藻,生鮮野菜,ごぼう,1416,1416 ごぼう,010512060,True
野菜・海藻,生鮮野菜,たまねぎ,1417,1417 たまねぎ,010512070,True
野菜・海藻,生鮮野菜,れんこん,1419,1419 れんこん,010512080,True
野菜・海藻,生鮮野菜,ながいも,1420,1420 ながいも,,False
野菜・海藻,生鮮野菜,しょうが,1421,1421 しょうが,,False
野菜・海藻,生鮮野菜,えだまめ,1430,1430 えだまめ,,False
野菜・海藻,生鮮野菜,さやいんげん,1432,1432 さやいんげん,,False
野菜・海藻,生鮮野菜,かぼちゃ,1433,1433 かぼちゃ,010513020,True
野菜・海藻,生鮮野菜,きゅうり,1434,1434 きゅうり,010513030,True
野菜・海藻,生鮮野菜,なす,1435,1435 なす,010513040,True
野菜・海藻,生鮮野菜,トマト,1436,1436 トマト,010513050,True
野菜・海藻,生鮮野菜,ピーマン,1437,1437 ピーマン,010513060,True
野菜・海藻,生鮮野菜,生しいたけ,1438,1438 生しいたけ,010513070,True
野菜・海藻,生鮮野菜,えのきたけ,1442,1442 えのきたけ,010513090,True
野菜・海藻,生鮮野菜,しめじ,1443,1443 しめじ,010513080,True
野菜・海藻,生鮮野菜,カット野菜,1444,1444 カット野菜,,False
乾物・加工品類,乾物・海藻,干ししいたけ,1453,1453 干ししいたけ,010520020,True
乾物・加工品類,乾物・海藻,干しのり,1461,1461 干しのり,010520030,True
乾物・加工品類,乾物・海藻,わかめ,1462,1462 わかめ,010520040,True
乾物・加工品類,乾物・海藻,こんぶ,1463,1463 こんぶ,010520050,True
乾物・加工品類,乾物・海藻,ひじき,1464,1464 ひじき,,False
乾物・加工品類,大豆加工品,豆腐,1471,1471 豆腐,010530010,True
乾物・加工品類,大豆加工品,油揚げ,1472,1472 油揚げ,010530020,True
乾物・加工品類,大豆加工品,納豆,1473,1473 納豆,010530030,True
乾物・加工品類,他の野菜・海藻加工品,こんにゃく,1481,1481 こんにゃく,010540010,True
